Date,Close price,Revenue,Net income,D/E Ratio,ROIC
10/12/2018,77.139999,1551.00 ,286.00 ,3.91,0.23
10/15/2018,76.75,1551.00 ,286.00 ,3.91,0.23
10/16/2018,78.860001,1551.00 ,286.00 ,3.91,0.23
10/17/2018,79.059998,1551.00 ,286.00 ,3.91,0.23
10/18/2018,78.5,1551.00 ,286.00 ,3.91,0.23
10/19/2018,78.529999,1551.00 ,286.00 ,3.91,0.23
10/22/2018,79.400002,1551.00 ,286.00 ,3.91,0.23
10/23/2018,79.360001,1551.00 ,286.00 ,3.91,0.23
10/24/2018,77.169998,1551.00 ,286.00 ,3.91,0.23
10/25/2018,78.889999,1551.00 ,286.00 ,3.91,0.23
10/26/2018,77.900002,1551.00 ,286.00 ,3.91,0.23
10/29/2018,77.18,1551.00 ,286.00 ,3.91,0.23
10/30/2018,77.940002,1551.00 ,286.00 ,3.91,0.23
10/31/2018,79.300003,1551.00 ,286.00 ,3.91,0.23
11/1/2018,74.910004,1551.00 ,286.00 ,3.91,0.23
11/2/2018,74.989998,1551.00 ,286.00 ,3.91,0.23
11/5/2018,76.709999,1551.00 ,286.00 ,3.91,0.23
11/6/2018,77.510002,1551.00 ,286.00 ,3.91,0.23
11/7/2018,79.209999,1551.00 ,286.00 ,3.91,0.23
11/8/2018,79.800003,1551.00 ,286.00 ,3.91,0.23
11/9/2018,80.239998,1551.00 ,286.00 ,3.91,0.23
11/12/2018,78.589996,1551.00 ,286.00 ,3.91,0.23
11/13/2018,77.660004,1551.00 ,286.00 ,3.91,0.23
11/14/2018,77.75,1551.00 ,286.00 ,3.91,0.23
11/15/2018,79.709999,1551.00 ,286.00 ,3.91,0.23
11/16/2018,80.279999,1551.00 ,286.00 ,3.91,0.23
11/19/2018,78.559998,1551.00 ,286.00 ,3.91,0.23
11/20/2018,76.080002,1551.00 ,286.00 ,3.91,0.23
11/21/2018,76.839996,1551.00 ,286.00 ,3.91,0.23
11/23/2018,76.870003,1551.00 ,286.00 ,3.91,0.23
11/26/2018,77.410004,1551.00 ,286.00 ,3.91,0.23
11/27/2018,77.169998,1551.00 ,286.00 ,3.91,0.23
11/28/2018,79.400002,1551.00 ,286.00 ,3.91,0.23
11/29/2018,78.440002,1551.00 ,286.00 ,3.91,0.23
11/30/2018,79.129997,1551.00 ,286.00 ,3.91,0.23
12/3/2018,79.669998,1551.00 ,286.00 ,3.91,0.23
12/4/2018,76.910004,1551.00 ,286.00 ,3.91,0.23
12/6/2018,76.07,1551.00 ,286.00 ,3.91,0.23
12/7/2018,74.739998,1551.00 ,286.00 ,3.91,0.23
12/10/2018,76.139999,1551.00 ,286.00 ,3.91,0.23
12/11/2018,76.760002,1551.00 ,286.00 ,3.91,0.23
12/12/2018,77.639999,1551.00 ,286.00 ,3.91,0.23
12/13/2018,77.739998,1551.00 ,286.00 ,3.91,0.23
12/14/2018,76.279999,1551.00 ,286.00 ,3.91,0.23
12/17/2018,74.43,1551.00 ,286.00 ,3.91,0.23
12/18/2018,73.010002,1551.00 ,286.00 ,3.91,0.23
12/19/2018,72.839996,1551.00 ,286.00 ,3.91,0.23
12/20/2018,72.5,1551.00 ,286.00 ,3.91,0.23
12/21/2018,70.919998,1551.00 ,286.00 ,3.91,0.23
12/24/2018,69,1551.00 ,286.00 ,3.91,0.23
12/26/2018,71.910004,1551.00 ,286.00 ,3.91,0.23
12/27/2018,73.07,1551.00 ,286.00 ,3.91,0.23
12/28/2018,72.959999,1551.00 ,286.00 ,3.91,0.23
12/31/2018,73.489998,1551.00 ,286.00 ,3.91,0.23
1/2/2019,72.209999,1502.00 ,225.00 ,3.88,0.19
1/3/2019,70.110001,1502.00 ,225.00 ,3.88,0.19
1/4/2019,73.220001,1502.00 ,225.00 ,3.88,0.19
1/7/2019,73.07,1502.00 ,225.00 ,3.88,0.19
1/8/2019,73.550003,1502.00 ,225.00 ,3.88,0.19
1/9/2019,73.32,1502.00 ,225.00 ,3.88,0.19
1/10/2019,74.379997,1502.00 ,225.00 ,3.88,0.19
1/11/2019,74.099998,1502.00 ,225.00 ,3.88,0.19
1/14/2019,73.879997,1502.00 ,225.00 ,3.88,0.19
1/15/2019,75.040001,1502.00 ,225.00 ,3.88,0.19
1/16/2019,72.57,1502.00 ,225.00 ,3.88,0.19
1/17/2019,74.5,1502.00 ,225.00 ,3.88,0.19
1/18/2019,77.82,1502.00 ,225.00 ,3.88,0.19
1/22/2019,78.190002,1502.00 ,225.00 ,3.88,0.19
1/23/2019,80.589996,1502.00 ,225.00 ,3.88,0.19
1/24/2019,82.790001,1502.00 ,225.00 ,3.88,0.19
1/25/2019,85.07,1502.00 ,225.00 ,3.88,0.19
1/28/2019,85.209999,1502.00 ,225.00 ,3.88,0.19
1/29/2019,83.629997,1502.00 ,225.00 ,3.88,0.19
1/30/2019,84.660004,1502.00 ,225.00 ,3.88,0.19
1/31/2019,82.93,1502.00 ,225.00 ,3.88,0.19
2/1/2019,82.919998,1502.00 ,225.00 ,3.88,0.19
2/4/2019,84.089996,1502.00 ,225.00 ,3.88,0.19
2/5/2019,85.110001,1502.00 ,225.00 ,3.88,0.19
2/6/2019,84.610001,1502.00 ,225.00 ,3.88,0.19
2/7/2019,84.010002,1502.00 ,225.00 ,3.88,0.19
2/8/2019,85.699997,1502.00 ,225.00 ,3.88,0.19
2/11/2019,84.559998,1502.00 ,225.00 ,3.88,0.19
2/12/2019,84.379997,1502.00 ,225.00 ,3.88,0.19
2/13/2019,84.389999,1502.00 ,225.00 ,3.88,0.19
2/14/2019,84.349998,1502.00 ,225.00 ,3.88,0.19
2/15/2019,85.779999,1502.00 ,225.00 ,3.88,0.19
2/19/2019,85.620003,1502.00 ,225.00 ,3.88,0.19
2/20/2019,84.730003,1502.00 ,225.00 ,3.88,0.19
2/21/2019,84.75,1502.00 ,225.00 ,3.88,0.19
2/22/2019,85.029999,1502.00 ,225.00 ,3.88,0.19
2/25/2019,84.239998,1502.00 ,225.00 ,3.88,0.19
2/26/2019,84.720001,1502.00 ,225.00 ,3.88,0.19
2/27/2019,85.050003,1502.00 ,225.00 ,3.88,0.19
2/28/2019,84.690002,1502.00 ,225.00 ,3.88,0.19
3/1/2019,86.389999,1502.00 ,225.00 ,3.88,0.19
3/4/2019,85.550003,1502.00 ,225.00 ,3.88,0.19
3/5/2019,85.610001,1502.00 ,225.00 ,3.88,0.19
